	Species	Island_type	ecomorph	geo_ecomorph	Female_SVL	Male_SVL	min_n_females	min_n_males	n_females	n_males	refs	notes
A_porcus	Anolis_porcus	LargeIsland	Unique	2	172	162	NA	NA	NA	NA	"Schettino 1999, Schwartz and Henderson 1991, Herrel et al. 2004"	NA
A_pulchell	Anolis_pulchellus	LargeIsland	GrassBush	2	37.5	51	131	251	"131 (Schoener), 20 (Butler and Losos 2002)"	"251 (Schoener 1970), 19 (Butler and Losos 2002)"	"Schoener 1970, Losos 1990, Fitch 1981, Butler and Losos 2002, Roughgarden 1995, Schwartz and Henderson 1991, Herrel et al. 2004, Williams 1983, Butler et al. 2000"	NA
A_pumilis	Anolis_pumilus	LargeIsland	Unique	2	39.2	34.2	11	7	11 (Schettino 1999)	7 (Schettino 1999)	"Schettino 1999, Schwartz and Henderson 1991"	NA
A_purpurgu	Anolis_purpurgularis	Mainland	NA	3	58.1	59.3	4	9	4 (McCranie et al. 1993)	9 (McCranie et al. 1993)	"Cox et al. 2003, McCranie et al. 1993"	NA
A_quadrioc	Anolis_quadriocellifer	LargeIsland	TrunkGround	1	48.5	55	10	10	10 (Schettino 1999)	10 (Schettino 1999)	"Schettino 1999, Schwartz and Henderson 1991"	NA
A_quercoru	Anolis_quercorum	Mainland	NA	3	41	46	16	26	"16 (Fitch 1981), 6 (Fitch 1978)"	"26 (Fitch 1981), 16 (Fitch and Hillis 1984), 12 (Fitch 1978)"	"Fitch 1981, Fitch and Hillis 1984, Fitch 1978"	NA
A_recondit	Anolis_reconditus	LargeIsland	Unique	2	84	100	NA	NA	NA	NA	"Schwartz and Henderson 1991, Herrel et al. 2004, Williams 1983, Losos Pers. Comm"	NA
A_rejectus	Anolis_rejectus	LargeIsland	GrassBush	2	36.7	37	7	6	7 (Schettino 1999)	6 (Schettino 1999)	"Schettino 1999, Schwartz and Henderson 1991"	NA
A_ricordii	Anolis_ricordi	LargeIsland	CrownGiant	2	151	160	40	88	40 (Butler et al. 2000)	88 (Butler et al. 2000)	"Fitch 1981, Schwartz and Henderson 1991, Williams 1983, Butler et al. 2000"	NA
A_rubribar	Anolis_rubribarbus	LargeIsland	TrunkGround	1	47.5	65.9	4	10	4 (Schettino 1999)	10 (Schettino 1999)	Schettino 1999	NA
A_sabanus	Anolis_sabanus	SmallIsland	NA	0	51	69	26	57	26 (Lazell 1972)	57 (Lazell 1972)	"Fitch 1981, Roughgarden 1995, Schwartz and Henderson 1991, Lazell 1972, Powell et al. 2005"	NA
A_sagrei	Anolis_sagrei	LargeIsland	TrunkGround	1	57	73	451	461	"146 (Schoener 1970), 25 (Butler and Losos 2002), 451 (Campbell and Echternacht 2003)"	"426 (Schoener 1970), 21 (Butler and Losos 2002), 82 (Gerber and Echternacht 2000), 461 (Campbell and Echternacht 2003)"	"Schoener 1970, Losos 1990, Stamps et al. 1997, Fitch 1981, Perry and Garland 2002, Butler and Losos 2002, Campbell 1999, Schettino 1999, Smith 1946, Schwartz and Henderson 1991, Andrews and Rand 1974, Gerber and Echternacht 2000, Licht and Gorman 1970, Rogner 1997, Herrel et al. 2004, Maisano 2002, Campbell and Echternacht 2003, Williams 1983, Stamps and Andrews 1992, Butler et al. 2000, McCranie et al. 2005, Cox et al. 2003"	NA
A_schwartz	Anolis_schwartzi	SmallIsland	NA	0	43	49	42	77	42 (Lazell 1972)	77  (Lazell 1972)	Lazell 1972	NA
A_scriptus	Anolis_scriptus	SmallIsland	NA	0	64	76	1	1	1 (Cope 1895)	1 (Cope 1895)	"Schwartz and Henderson 1991, Herrel et al. 2004, Cope 1895"	NA
A_semiline	Anolis_semilineatus	LargeIsland	GrassBush	2	43	47	43	70	43 (Schoener 1970)	70 (Schoener 1970)	"Schoener 1970, Fitch 1981, Schwartz and Henderson 1991, Andrews and Rand 1974, Williams 1983, Butler et al. 2000"	NA
A_sericeus	Anolis_sericeus	Mainland	NA	3	47	52	34	47	"34 (Fitch 1981), 12 (Alvarez del Toro and Smith 1956)"	"47 (Fitch 1981), 34 (Fitch and Hillis 1984), 5 (Alvarez del Toro and Smith 1956)"	"Fitch 1973a, 1976, 1981, Savage 2002, Fitch and Hillis 1984, Fitch 1978, Alvarez del Toro and Smith 1956, McCranie et al. 2005, Kohler et al. 2006"	NA
A_sheplani	Anolis_sheplani	LargeIsland	Twig	2	40	41	NA	NA	NA	NA	"Hedges and Thomas 1989, Schwartz and Henderson 1991, Williams 1983"	NA
A_shrevei	Anolis_shrevei	LargeIsland	TrunkGround	1	50	60	48	28	48 (Butler et al. 2000)	28 (Butler et al. 2000)	"Schwartz and Henderson 1991, Williams 1983, Butler et al. 2000"	NA
A_singular	Anolis_singularis	LargeIsland	TrunkCrown	1	45	52	NA	NA	NA	NA	"Schwartz and Henderson 1991, Williams 1983"	NA
A_smallwoo	Anolis_smallwoodi	LargeIsland	CrownGiant	2	165	190	NA	NA	NA	NA	"Schettino 1999, Schwartz and Henderson 1991, Herrel et al. 2004"	NA
A_smaragdi	Anolis_smaragdinus	SmallIsland	TrunkCrown	0	51	64	NA	NA	NA	NA	"Stamps et al. 1997, Schwartz and Henderson 1991, Herrel et al. 2004"	NA
A_sminthus	Anolis_sminthus	Mainland	NA	3	58	51	7	10	"7 (Fitch 1981), 6 (McCranie et al. 1992)"	"10 (Fitch 1981), 2+7 (Fitch and Hillis 1984), 9 (McCranie et al. 1992)"	"Fitch 1976, Fitch 1981, Fitch and Hillis 1984, Kohler et al. 2006, McCranie et al. 1992"	NA
A_strahmi	Anolis_strahmi	LargeIsland	TrunkGround	1	64	79	NA	NA	NA	NA	"Schwartz and Henderson 1991, Herrel et al. 2004, Williams 1983"	NA
A_stratulu	Anolis_stratulus	LargeIsland	TrunkCrown	1	46	50	48	129	"48 (Schoener 1970), 26 (Butler and Losos 2002)"	"129 (Schoener 1970), 11 (Butler and Losos 2002)"	"Schoener 1970, Losos 1990, Fitch 1981, Butler and Losos 2002, Roughgarden 1995, Avila-Pires 1995, Schwartz and Henderson 1991, Herrel et al. 2004, Williams 1983"	NA
A_trachyde	Anolis_trachyderma	Mainland	NA	3	58	61	101	129	"101 (Fitch 1981), 28 (Vitt et al. 2002)"	"129 (Fitch 1981), 2 (Duellman and Mendelson 1995), 1 (Amaral 1933), 50 (Vitt et al. 2002)"	"Fitch 1976, Fitch 1981, Duellman and Mendelson 1995, Avila-Pires 1995, Duellman 1978, Andrews and Rand 1974, Dixon and Soini 1986, Herrel et al. 2004, Vitt et al. 2002, Amaral 1933"	NA
A_tropidog	Anolis_tropidogaster	Mainland	NA	3	54	63	15	24	"15 (Fitch 1976, Fitch 1981)"	"24 (Fitch 1976, Fitch 1981), 1 (Ruthven 1916), 2 (Barbour 1932a&b)"	"Fitch 1976, Fitch 1981, Cox et al. 2003, Ruthven 1916, Barbour 1932a&b"	NA
A_tropidon	Anolis_tropidonotus	Mainland	NA	3	55	56	34	16	34 (Fitch)	"16 (Fitch 1981), 10 (Fitch and Hillis 1984), 1 (Alvarez del Toro and Smith 1956)"	"Stamps et al. 1997, Fitch 1976, Fitch 1981, Fitch and Hillis 1984, Rogner 1997, Alvarez del Toro and Smith 1956, Kohler et al. 2006, D'Cruze and Stafford 2006"	NA
A_uniformi	Anolis_uniformis	Mainland	NA	3	40.5	40.3	13	29	13 (Fitch 1981)	29 (Fitch 1981)	"Fitch 1976, Fitch 1981, Kohler et al. 2006"	NA
A_valencie	Anolis_valencienni	LargeIsland	Twig	2	74	86	29	40	"29 (Schoener), 15 (Butler and Losos 2002), 21 (Herrel et al. 2004)"	"40 (Schoener), 29 (Butler and Losos 2002), 25 (Herrel et al. 2004)"	"Stamps et al. 1997, Losos 1990, Fitch 1981, Schoener 1970, Perry and Garland 2002, Butler and Losos 2002, Schwartz and Henderson 1991, Herrel et al. 2004, Williams 1983, Butler et al. 2000, Andrews and Rand 1974, Losos Pers. Comm"	NA
A_vanidicu	Anolis_vanidicus	LargeIsland	GrassBush	2	37	39	9	10	9 (Schettino 1999)	10 (Schettino 1999)	"Schettino 1999, Schwartz and Henderson 1991"	NA
A_vermicul	Anolis_vermiculatus	LargeIsland	Unique	2	84.9	124.5	12	21	12 (Schettino 1999)	21 (Schettino 1999)	"Schettino 1999, Schwartz and Henderson 1991, Herrel et al. 2004, Losos Pers. Comm"	NA
A_wattsi	Anolis_wattsi	SmallIsland	NA	0	49	58	144	98	71 (Lazell 1972)	98 (Lazell 1972)	"Stamps et al. 1997, Fitch 1981, Roughgarden 1995, Schwartz and Henderson 1991, Lazell 1972, Stamps and Andrews 1992, Powell et al. 2005, Kolbe et al. 2008"	NA
A_websteri	Anolis_websteri	LargeIsland	Trunk	2	47	51	NA	NA	NA	NA	"Schwartz and Henderson 1991, Williams 1983"	NA
A_whiteman	Anolis_whitemani	LargeIsland	TrunkGround	1	54	67	43	55	"43 (Schwartz 1990), 18 (Butler et al. 2000)"	"55 (Schwartz 1990), 19 (Butler et al. 2000)"	"Schwartz and Henderson 1991, Herrel et al. 2004, Schwartz 1980, Williams 1983, Butler et al. 2000"	NA
A_woodi	Anolis_woodi	Mainland	NA	3	86	95	10	4	10 (Fitch 1981)	4 (Fitch 1981)	"Fitch 1976, Fitch 1981, Savage 2002"	NA
A_zeus	Anolis_zeus	Mainland	NA	3	44	40	8	6	8 (Kohler and McCranie 2001)	6 (Kohler and McCranie 2001)	Kohler and McCranie 2001	NA
