	Species	Island_type	ecomorph	geo_ecomorph	Female_SVL	Male_SVL	min_n_females	min_n_males	n_females	n_males	refs	notes
A_clivicol	Anolis_clivicola	LargeIsland	GrassBush	2	45	49.4	10	9	10 (Schettino 1999)	9 (Schettino 1999)	"Schettino 1999, Schwartz and Henderson 1991"	NA
A_coelesti	Anolis_coelestinus	LargeIsland	TrunkCrown	1	60.3	84	572	1242	572 (Schoener 1970)	1242 (Schoener 1970)	"Schoener 1970, Fitch 1981, Schwartz and Henderson 1991, Herrel et al. 2004, Williams 1983, Butler et al. 2000"	NA
A_confusus	Anolis_confusus	LargeIsland	TrunkGround	1	48	53	3	12	3 (Schettino 1999)	12 (Schettino 1999)	Schettino 1999	NA
A_conspers	Anolis_conspersus	LargeIsland	TrunkCrown	1	47	76	NA	35	NA	35 (Gerber and Echternacht 2000)	"Cox et al. 2003, Gerber and Echternacht 2000, Licht and Gorman 1970"	NA
A_cooki	Anolis_cooki	LargeIsland	TrunkGround	1	59	70	6	22	6 (Butler et al. 2000)	22 (Butler et al. 2000)	"Fitch 1981, Roughgarden 1995, Schwartz and Henderson 1991, Williams 1983, Butler et al. 2000"	NA
A_crassulu	Anolis_crassulus	Mainland	NA	3	56	53	7	8	"7 (Fitch 1976, Fitch 1981), 6 (McCranie et al. 1992)"	"8 (Fitch 1976, Fitch 1981), 3 (McCranie et al. 1992)"	"Fitch 1976, Fitch 1981, Cox et al. 2003, Kohler et al. 2006, McCranie et al. 1992"	NA
A_cristate	Anolis_cristatellus	LargeIsland	TrunkGround	1	76	75	498	876	"498 (Schoener 1970), 19 (Butler and Losos 2002)"	"876 (Schoener 1970), 20 (Butler and Losos 2002)"	"Schoener 1970, Fitch 1981, Perry and Garland 2002, Butler and Losos 2002, Roughgarden 1995, Savage 2002, Schwartz and Henderson 1991, Herrel et al. 2004, Smith 1934b, Williams 1983, Butler et al. 2000"	NA
A_cupeyale	Anolis_cupeyalensis	LargeIsland	GrassBush	2	31	33	9	10	9 (Schettino 1999)	10 (Schettino 1999)	"Schettino 1999, Schwartz and Henderson 1991"	NA
A_cupreus	Anolis_cupreus	Mainland	NA	3	51	57	461	657	"461 (Fitch 1981), 428 (Fitch 1976)"	"657 (Fitch 1981), 640 (Fitch 1976)"	"Clobert et al. 1998, Stamps et al. 1997, Fitch 1973a, 1976, 1981, Perry and Garland 2002, Cox et al. 2003, Savage 2002, Dunham et al. 1988, Fitch and Hillis 1984"	NA
A_cuvieri	Anolis_cuvieri	LargeIsland	CrownGiant	2	135	137	16	27	"16 (Schoener 1970), 3 (Butler and Losos 2002)"	"27 (Schoener 1970), 6 (Butler and Losos 2002)"	"Schoener 1970, Butler and Losos 2002, Schwartz and Henderson 1991, Andrews and Rand 1974, Herrel et al. 2004, Butler et al. 2000, Perry and garland 2002, Roughgarden 1995, Williams 1983"	NA
A_cyanople	Anolis_cyanopleurus	LargeIsland	GrassBush	2	36.2	43	NA	NA	NA	NA	"Schettino 1999, Schwartz and Henderson 1991"	NA
A_cybotes	Anolis_cybotes	LargeIsland	TrunkGround	1	66	81	148	245	"148 (Schoener 1970), 133 (Fitch), 27 (Fobes et al. 1992)"	"245 (Schoener 1970), 230 (Fitch 1981), 18 (Fobes et al. 1992)"	"Schoener 1970, Fitch 1981, Schwartz and Henderson 1991, Licht and Gorman 1970, Fobes et al. 1992, Herrel et al. 2004, Williams 1983, Butler et al. 2000"	NA
A_darlingt	Anolis_darlingtoni	LargeIsland	Twig	2	NA	74	NA	3	NA	3 (Thomas and Hedges 1991)	"Thomas and Hedges 1991, Schwartz and Henderson 1991, Williams 1983"	NA
A_desechen	Anolis_desechensis	SmallIsland	TrunkGround	0	45	57	NA	NA	NA	NA	Schwartz and Henderson 1991	NA
A_distichu	Anolis_distichus	LargeIsland	Trunk	2	48	58	616	1022	616 (Schoener 1970)	1022 (Schoener 1970)	"Schoener 1970, Stamps et al. 1997, Fitch 1981, Perry and Garland 2002, Cox et al. 2003, Schwartz and Henderson 1991, Rogner 1997, Herrel et al. 2004, Williams 1983, Stamps and Andrews 1992, Butler et al. 2000"	NA
A_dolichoc	Anolis_dolichocephalus	LargeIsland	GrassBush	2	52	51	NA	NA	NA	NA	"Fitch 1981, Schwartz and Henderson 1991, Williams 1983"	NA
A_equestri	Anolis_equestris	LargeIsland	CrownGiant	2	170	190	385	468	385 (Schoener 1970)	468 (Schoener 1970)	"Schoener 1970, Fitch 1981, Schettino 1999, Schwartz and Henderson 1991, Dalrymple 1980, Herrel et al. 2004, Butler et al. 2000"	NA
A_ernestwi	Anolis_ernestwilliamsi	SmallIsland	TrunkGround	0	60	82	NA	NA	NA	NA	"Roughgarden 1995, Schwartz and Henderson 1991"	NA
A_etheridg	Anolis_etheridgei	LargeIsland	Unique	2	43	43	NA	NA	NA	NA	"Schwartz and Henderson 1991, Williams 1983"	NA
A_eugenegr	Anolis_eugenegrahami	LargeIsland	Unique	2	61	72	NA	NA	NA	NA	"Schwartz and Henderson 1991, Williams 1983"	NA
A_evermann	Anolis_evermanni	LargeIsland	TrunkCrown	1	52.4	78	19	17	19 (Butler and Losos 2002)	17 (Butler and Losos 2002)	"Losos 1990, Fitch 1981, Butler and Losos 2002, Roughgarden 1995, Schwartz and Henderson 1991, Herrel et al. 2004, Williams 1983, Butler et al. 2000"	NA
A_ferreus	Anolis_ferreus	SmallIsland	NA	0	65	119	NA	NA	NA	NA	"Roughgarden 1995, Schwartz and Henderson 1991, Herrel et al. 2004, Lazell 1972, Lazell 1964"	NA
A_fowleri	Anolis_fowleri	LargeIsland	Unique	2	75	77	NA	NA	NA	NA	"Schwartz and Henderson 1991, Williams 1983"	NA
A_fuscoaur	Anolis_fuscoauratus	Mainland	NA	3	52	49	108	47	"22 (Fitch 1981), 10 (Duellman and Mendelson 1995), 11 (Hoogmoed 1973), 15+12 (Duellman 2005), 1 (Lotzkat 2007), 108 (Vitt et al. 2003)"	"21 (Fitch 1981), 6 (Duellman and Mendelson 1995), 11 (Hoogmoed 1973), 7 (Duellman 2005), 1 (Lotzkat 2007), 47 (Vitt et al. 2003)"	"Fitch 1976, Fitch 1981, Duellman and Mendelson 1995, Avila-Pires 1995, Duellman 1978, Andrews and Rand 1974, Dixon and Soini 1986, Hoogmoed 1973, Duellman 2005, Herrel et al. 2004, Lotzkat 2007, Vitt et al. 2003, Lotzkat 2007"	NA
A_garmani	Anolis_garmani	LargeIsland	CrownGiant	2	95	132	68	86	"68 (Schoener 1970), 12 (Butler and Losos 2002), 7 (Herrel et al. 2004)"	"86 (Schoener 1970), 10 (Butler and Losos 2002), 6 (Herrel et al. 2004)"	"Schoener 1970, Stamps et al. 1997, Fitch 1981, Trivers 1976, Butler and Losos 2002, Schwartz and Henderson 1991, Rogner 1997, Butler et al. 2000, Losos 1990, Herrel et al. 2004, Williams 1983"	NA
A_garridoi	Anolis_garridoi	LargeIsland	Twig	2	36.8	41.8	3	5	3 (Schettino 1999)	5 (Schettino 1999)	Schettino 1999	NA
A_gingivin	Anolis_gingivinus	SmallIsland	NA	0	55	72	61	111	61 (Lazell 1972)	111 (Lazell 1972)	"Roughgarden 1995, Schwartz and Henderson 1991, Herrel et al. 2004, Lazell 1972, Stamps and Andrews 1992, Powell et al. 2005"	NA
A_grahami	Anolis_grahami	LargeIsland	TrunkCrown	1	64	75	21	23	"21 (Butler and Losos 2002), 1 (Boulenger 1885), 17 (Herrel et al. 2004)"	"18 (Butler and Losos 2002), 1 (Boulenger 1885), 23 (Herrel et al. 2004)"	"Fitch 1981, Butler and Losos 2002, Cox et al. 2003, Schwartz and Henderson 1991, Andrews and Rand 1974, Boulenger 1885, Licht and Gorman 1970, Rogner 1997, Herrel et al. 2004, Williams 1983, Butler et al. 2000"	NA
A_guafe	Anolis_guafe	LargeIsland	TrunkGround	1	40	48.8	13	24	13 (Schettino 1999)	24 (Schettino 1999)	Schettino 1999	NA
A_guamuhay	Anolis_guamuhaya	LargeIsland	Unique	2	162	NA	1	NA	1 (Schettino 1999)	NA	Schettino 1999	NA
A_guazuma	Anolis_guazuma	LargeIsland	Twig	2	41	48.5	3	7	3 (Schettino 1999)	7 (Schettino 1999)	"Schettino 1999, Schwartz and Henderson 1991"	NA
A_gundlach	Anolis_gundlachi	LargeIsland	TrunkGround	1	52	75	19	18	19 (Butler and Losos 2002)	18 (Butler and Losos 2002)	"Losos 1990, Fitch 1981, Butler and Losos 2002, Roughgarden 1995, Schwartz and Henderson 1991, Andrews and Rand 1974, Rogner 1997, Herrel et al. 2004, Williams 1983, Stamps and Andrews 1992, Butler et al. 2000"	NA
A_haetianu	Anolis_haetianus	LargeIsland	TrunkGround	1	60	75	NA	NA	NA	NA	Schwartz and Henderson 1991	NA
A_henderso	Anolis_hendersoni	LargeIsland	GrassBush	2	42.6	49.3	128	203	128 (Schoener 1970)	203 (Schoener 1970?)	"Schoener 1970, Fitch 1981, Schwartz and Henderson 1991, Williams 1983, Butler et al. 2000"	NA
A_homolech	Anolis_homolechis	LargeIsland	TrunkGround	1	55.8	70	NA	NA	NA	NA	"Schoener 1970, Fitch 1981, Schettino 1999, Schwartz and Henderson 1991, Butler et al. 2000"	NA
A_humilis	Anolis_humilis	Mainland	NA	3	44	45	222	216	"106 (Fitch), 1 (Taylor 1956), 222 (Guyer and Donnelly 2005)"	"155 (Fitch 1981), 29 (Fitch and Hillis 1984), 1 (Taylor 1956), 216 (Guyer and Donnelly 2005)"	"Stamps et al. 1997, Fitch 1973a, 1973b, 1976, 1981, Savage 2002, Andrews 1979, Andrews and Rand 1974, Herrel et al. 2004, Taylor 1956, Stamps and Andrews 1992, Vitt et al. 2002, Guyer and Donnelly 2005, Dunham et al. 1988, Kohler et al. 2006, Fitch and Hillis 1984"	NA
A_imias	Anolis_imias	LargeIsland	TrunkGround	1	46.5	67.4	2	5	2 (Schettino 1999)	5 (Schettino 1999)	"Schettino 1999, Schwartz and Henderson 1991"	NA
A_inexpect	Anolis_inexpectatus	LargeIsland	GrassBush	2	35	37	15	16	15 (Schettino 1999)	16 (Schettino 1999)	"Schettino 1999, Schwartz and Henderson 1991"	NA
A_insolitu	Anolis_insolitus	LargeIsland	Twig	2	44	47	19	20	19 (Butler et al. 2000)	20 (Butler et al. 2000)	"Schwartz and Henderson 1991, Williams 1983, Butler et al. 2000"	NA
A_intermed	Anolis_intermedius	Mainland	NA	3	54	54	98	241	"98 (Fitch), 3 (Taylor 1956)"	241 (Fitch 1981)	"Clobert et al. 1998, Fitch 1973a, 1976, 1981, Savage 2002, Taylor 1956, Fitch and Hillis 1984"	NA
A_isthmicu	Anolis_isthmicus	Mainland	NA	3	58	63	9	25	"9 (Fitch 1981), 3 (Fitch 1978)"	"25 (Fitch 1981), 6 (Fitch and Hillis 1984), 8 (Fitch 1978)"	"Fitch 1981, Fitch and Hillis 1984, Fitch 1978"	NA
A_jubar	Anolis_jubar	LargeIsland	TrunkGround	1	53.2	62	NA	NA	NA	NA	"Schettino 1999, Schwartz and Henderson 1991"	NA
A_krugi	Anolis_krugi	LargeIsland	GrassBush	2	39.3	55	19	18	19 (Butler and Losos 2002)	18 (Butler and Losos 2002)	"Losos 1990, Fitch 1981, Butler and Losos 2002, Roughgarden 1995, Schwartz and Henderson 1991, Herrel et al. 2004, Williams 1983, Butler et al. 2000"	NA
A_laeviven	Anolis_laeviventris	Mainland	NA	3	65	61	13	24	13 (Fitch 1976)	"24 (Fitch 1976), 1 (Barbour 1932a&b)"	"Fitch 1976,  Barbour 1932a&b"	NA
A_leachi	Anolis_leachii	SmallIsland	NA	0	70	123	41	47	41 (Lazell 1972)	47 (Lazell 1972)	"Roughgarden 1995, Lazell 1972, Kolbe et al. 2008"	NA
A_lemurinu	Anolis_lemurinus	Mainland	NA	3	79	79	16	13	"16 (Fitch 1976), 15 (Guyer and Donnelly 2005)"	"13 (Fitch 1976), 3 (Fitch and Hillis 1984), 10 (Guyer and Donnelly 2005)"	"Fitch 1976, Savage 2002, Andrews and Rand 1974, Fitch and Hillis 1984, Herrel et al. 2004, Klutsch et al. 2007, McCranie et al. 2005, Guyer and Donnelly 2005"	NA
A_limifron	Anolis_limifrons	Mainland	NA	3	51	51	284	400	"284 (Fitch 1981), 2 (Taylor 1956), 46 (Guyer and Donnelly 2005), 21 (Kohler and Sunyer 2008), 33 (Fitch et al. 1976)"	"400 (Fitch 1981), 65 (Fitch and Hillis 1984), 1 (Taylor 1956), 102 (Guyer and Donnelly 2005), 50 (Kohler and Sunyer 2008), 42 (Fitch et al. 1976)"	"Tinkle et al. 1970, Clobert et al. 1998, Fitch 1973a, 1973b, 1976, 1981, Perry and Garland 2002, Andrews 1976, Cox et al. 2003, Savage 2002, Andrews 1979, Andrews and Rand 1974, Herrel et al. 2004, Taylor 1956, Stamps and Andrews 1992, Guyer and Donnelly 2005, Dunham et al. 1988, Kohler and Sunyer 2008, Fitch et al. 1976, Stamps et al. 1997, Smith 1981"	NA
A_lineatop	Anolis_lineatopus	LargeIsland	TrunkGround	1	51	73	45	58	"24 (Butler and Losos 2002), 45 (Herrel et al. 2004)"	"21 (Butler and Losos 2002), 58 (Herrel et al. 2004)"	"Losos 1990, Stamps et al. 1997, Fitch 1981, Perry and Garland 2002, Butler and Losos 2002, Cox et al. 2003, Schwartz and Henderson 1991, Andrews and Rand 1974, Licht and Gorman 1970, Herrel et al. 2004, Williams 1983, Butler et al. 2000, Losos Pers. Comm"	NA
A_lionotus	Anolis_lionotus	Mainland	NA	3	70	76	44	59	44 (Campbell 1973)	59 (Campbell 1973)	Campbell 1973	"A. lionotus measurements from Panama (as suggested by Savage), all other ""lionotus"" measurements are taken to be from oxylophus"
A_lividus	Anolis_lividus	SmallIsland	NA	0	55	70	44	64	44 (Lazell 1972)	64 (Lazell 1972)	"Fitch 1981, Roughgarden 1995, Schwartz and Henderson 1991, Andrews and Rand 1974, Herrel et al. 2004, Lazell 1972"	NA
A_longicep	Anolis_longiceps	SmallIsland	TrunkCrown	0	76	83	NA	NA	NA	NA	Schwartz and Henderson 1991	NA
A_longitib	Anolis_longitibialis	LargeIsland	TrunkGround	1	59	72	NA	NA	NA	NA	"Schwartz and Henderson 1991, Williams 1983"	NA
A_loveridg	Anolis_loveridgei	Mainland	NA	3	NA	117.9	2	NA	2 (McCranie 1992)	NA	McCranie 1992	NA
A_loysiana	Anolis_loysiana	LargeIsland	Trunk	2	38.2	47.2	40	57	"40 (Schoener), 10 (Schettino 1999)"	"57 (Schoener 1970), 11 (Schettino 1999)"	"Schoener 1970, Fitch 1981, Schettino 1999, Schwartz and Henderson 1991, Butler et al. 2000"	NA
A_lucius	Anolis_lucius	LargeIsland	Unique	2	60	70	204	298	"204 (Schoener 1970), 16 (Schettino 1999), 1 (Boulenger 1885)"	"298 (Schoener 1970), 17 (Schettino 1999),  1 (Boulenger 1885)"	"Schoener 1970, Fitch 1981, Schettino 1999, Schwartz and Henderson 1991, Boulenger 1885, Rogner 1997"	NA
A_luteogul	Anolis_luteogularis	LargeIsland	CrownGiant	2	176	191	NA	NA	NA	NA	"Schettino 1999, Schwartz and Henderson 1991"	NA
A_macilent	Anolis_macilentus	LargeIsland	GrassBush	2	36	41	NA	NA	NA	NA	Schettino 1999	NA
A_marcanoi	Anolis_marcanoi	LargeIsland	TrunkGround	1	49	65	NA	NA	NA	NA	"Schwartz and Henderson 1991, Williams 1983"	NA
A_marmorat	Anolis_marmoratus	SmallIsland	NA	0	57	82	NA	NA	NA	NA	"Roughgarden 1995, Schwartz and Henderson 1991, Rogner 1997, Lazell 1972, Lazell 1964"	NA
A_marron	Anolis_marron	LargeIsland	Trunk	2	42	50	NA	NA	NA	NA	"Schwartz and Henderson 1991, Williams 1983"	NA
A_maynardi	Anolis_maynardi	SmallIsland	TrunkCrown	0	48	76	NA	NA	NA	NA	Schwartz and Henderson 1991	NA
A_meridion	Anolis_meridionalis	Mainland	NA	3	46.5	48	9	3	9 (Vitt and Caldwell 1993)	3 (Vitt and Caldwell 1993)	Vitt and Caldwell 1993	NA
A_mestrei	Anolis_mestrei	LargeIsland	TrunkGround	1	48.5	56.5	10	8	10 (Schettino 1999)	8 (Schettino 1999)	"Fitch 1981, Schettino 1999, Schwartz and Henderson 1991"	NA
A_monensis	Anolis_monensis	SmallIsland	TrunkGround	0	46	59	34	24	34 (Losos Pers. Comm.)	24 (Losos Pers. Comm.)	"Schwartz and Henderson 1991, Herrel et al. 2004, Losos Pers. Comm, Powell pers.com."	NA
