ID,Image,SpecID,Skull,Order_05,Suborder_05,Family_05,Subfamily_05,Genus_05,Species_05,Subspecies_05,Binomial_05,Trinomial_05
66,'FMNH_134445_cr_lt_1A_27_09_2013.TIF',FMNH_134445,Y,Soricomorpha,,Talpidae,Scalopinae,Condylura,cristata,,Condylura_cristata,
67,'FMNH_153667_cr_lt_1A_27_09_2013.TIF',FMNH_153667,Y,Soricomorpha,,Soricidae,Soricinae,Neomys,fodiens,,Neomys_fodiens,
68,'FMNH_153673_cr_lt_1A_30_09_2013.TIF',FMNH_153673,Y,Soricomorpha,,Soricidae,Crocidurinae,Crocidura,russula,,Crocidura_russula,
69,'FMNH_153674_cr_lt_1A_30_09_2013.TIF',FMNH_153674,Y,Soricomorpha,,Soricidae,Crocidurinae,Crocidura,russula,,Crocidura_russula,
70,'FMNH_153675_cr_lt_1A_30_09_2013.TIF',FMNH_153675,Y,Soricomorpha,,Soricidae,Crocidurinae,Crocidura,russula,,Crocidura_russula,
71,'FMNH_153787_cr_lt_1A_27_09_2013.TIF',FMNH_153787,Y,Soricomorpha,,Talpidae,Scalopinae,Condylura,cristata,,Condylura_cristata,
72,'FMNH_156226_cr_lt_1A_01_10_2013.TIF',FMNH_156226,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Oryzorictes,tetradactylus,,Oryzorictes_tetradactylus,
73,'FMNH_159672_cr_lt_1A_18_09_2013.TIF',FMNH_159672,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,monticola,,Microgale_monticola,
74,'FMNH_159673_cr_lt_1A_18_09_2013.TIF',FMNH_159673,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,monticola,,Microgale_monticola,
75,'FMNH_159674_cr_lt_1A_18_09_2013.TIF',FMNH_159674,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,monticola,,Microgale_monticola,
76,'FMNH_159675_cr_lt_1A_18_09_2013.TIF',FMNH_159675,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,monticola,,Microgale_monticola,
77,'FMNH_159676_cr_lt_1A_18_09_2013.TIF',FMNH_159676,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,monticola,,Microgale_monticola,
78,'FMNH_162893_cr_lt_1A_23_09_2013.TIF',FMNH_162893,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Potamogalinae,Micropotamogale,lamottei,,Micropotamogale_lamottei,
79,'FMNH_166040_cr_lt_1A_19_09_2013.TIF',FMNH_166040,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,pusilla,,Microgale_pusilla,
80,'FMNH_166111_cr_lt_1A_18_09_2013.TIF',FMNH_166111,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,gracilis,,Microgale_gracilis,
81,'FMNH_166112_cr_lt_1A_18_09_2013.TIF',FMNH_166112,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,gracilis,,Microgale_gracilis,
82,'FMNH_166113_cr_lt_1A_18_09_2013.TIF',FMNH_166113,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,gracilis,,Microgale_gracilis,
83,'FMNH_166145_cr_lt_1A_18_09_2013.TIF',FMNH_166145,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,gracilis,,Microgale_gracilis,
84,'FMNH_167427_cr_lt_1A_17_09_2013.TIF',FMNH_167427,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,dryas,,Microgale_dryas,
85,'FMNH_167621_cr_lt_1A_01_10_2013.TIF',FMNH_167621,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,pusilla,,Microgale_pusilla,
86,'FMNH_173146_cr_lt_1A_30_09_2013.TIF',FMNH_173146,Y,Soricomorpha,,Soricidae,Crocidurinae,Suncus,madagascariensis,,Suncus_madagascariensis,
87,'FMNH_173148_cr_lt_1A_30_09_2013.TIF',FMNH_173148,Y,Soricomorpha,,Soricidae,Crocidurinae,Suncus,madagascariensis,,Suncus_madagascariensis,
88,'FMNH_173149_cr_lt_1A_30_09_2013.TIF',FMNH_173149,Y,Soricomorpha,,Soricidae,Crocidurinae,Suncus,madagascariensis,,Suncus_madagascariensis,
89,'FMNH_176203_cr_lt_1A_17_09_2013.TIF',FMNH_176203,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Geogalinae,Geogale,aurita,,Geogale_aurita,
90,'FMNH_176204_cr_lt_1A_17_09_2013.TIF',FMNH_176204,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Geogalinae,Geogale,aurita,,Geogale_aurita,
91,'FMNH_176211_cr_lt_1A_17_09_2013.TIF',FMNH_176211,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Geogalinae,Geogale,aurita,,Geogale_aurita,
92,'FMNH_176385_cr_lt_1A_17_09_2013.TIF',FMNH_176385,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,dryas,,Microgale_dryas,
93,'FMNH_176387_cr_lt_1A_17_09_2013.TIF',FMNH_176387,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,dryas,,Microgale_dryas,
94,'FMNH_176389_cr_lt_1A_17_09_2013.TIF',FMNH_176389,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,dryas,,Microgale_dryas,
95,'FMNH_176395_cr_lt_1A_17_09_2013.TIF',FMNH_176395,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,dryas,,Microgale_dryas,
96,'FMNH_206739_cr_lt_1A_26_09_2013.TIF',FMNH_206739,Y,Soricomorpha,,Talpidae,Talpinae,Neurotrichus,gibbsii,minor,Neurotrichus_gibbsii,Neurotrichus_gibbsii_minor
97,'FMNH_209199_cr_lt_1A_19_09_2013.TIF',FMNH_209199,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,grandidieri,,Microgale_grandidieri,
98,'FMNH_209200_cr_lt_1A_19_09_2013.TIF',FMNH_209200,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,grandidieri,,Microgale_grandidieri,
99,'FMNH_209201_cr_lt_1A_19_09_2013.TIF',FMNH_209201,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,grandidieri,,Microgale_grandidieri,
100,'FMNH_209202_cr_lt_1A_19_09_2013.TIF',FMNH_209202,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,grandidieri,,Microgale_grandidieri,
101,'FMNH_209203_cr_lt_1A_19_09_2013.TIF',FMNH_209203,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictinae,Microgale,grandidieri,,Microgale_grandidieri,
102,'FMNH_23515_cr_lt_1A_30_09_2013.TIF',FMNH_23515,Y,Soricomorpha,,Soricidae,Soricinae,Sorex,araneus,,Sorex_araneus,
103,'FMNH_35407_cr_lt_1A_27_09_2013.TIF',FMNH_35407,Y,Soricomorpha,,Talpidae,Talpinae,Euroscaptor,micrura,,Euroscaptor_micrura,
104,'FMNH_35409_cr_lt_1A_27_09_2013.TIF',FMNH_35409,Y,Soricomorpha,,Talpidae,Talpinae,Euroscaptor,micrura,,Euroscaptor_micrura,
105,'FMNH_38115_cr_lt_1A_26_09_2013.TIF',FMNH_38115,Y,Erincaeomorpha,,Erinaceidae,Erinaceinae,Atelerix,frontalis,,Atelerix_frontalis,
106,'FMNH_38116_cr_lt_1A_26_09_2013.TIF',FMNH_38116,Y,Erincaeomorpha,,Erinaceidae,Erinaceinae,Atelerix,frontalis,,Atelerix_frontalis,
107,'FMNH_38119_cr_lt_1A_26_09_2013.TIF',FMNH_38119,Y,Erincaeomorpha,,Erinaceidae,Erinaceinae,Atelerix,frontalis,,Atelerix_frontalis,
108,'FMNH_53073_cr_lt_1A_23_09_2013.TIF',FMNH_53073,Y,Afrosoricida,Chrysochloridea,Chrysochloridae,Amblysominae,Amblysomus,corriae,,Amblysomus_corriae,
109,'FMNH_68736_cr_lt_1A_25_09_2013.TIF',FMNH_68736,Y,Erinaceomorpha,,Erinaceidae,Galericinae,Echinosorex,gymnura,alba,Echinosorex_gymnura,Echinosorex_gymnura_alba
110,'FMNH_68740_cr_lt_1A_25_09_2013.TIF',FMNH_68740,Y,Erinaceomorpha,,Erinaceidae,Galericinae,Echinosorex,gymnura,alba,Echinosorex_gymnura,Echinosorex_gymnura_alba
111,'FMNH_72831_cr_lt_1A_23_09_2013.TIF',FMNH_72831,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Potamogalinae,Potamogale,velox,,Potamogale_velox,
112,'FMNH_74927_cr_lt_1A_25_09_2013.TIF',FMNH_74927,Y,Erinaceomorpha,,Erinaceidae,Erinaceinae,Paraechinus,aethiopicus,deserti,Paraechinus_aethiopicus,Paraechinus_aethiopicus_deserti
113,'FMNH_81731_cr_lt_1A_23_09_2013.TIF',FMNH_81731,Y,Afrosoricida,Chrysochloridea,Chrysochloridae,Amblysominae,Calcochloris,leucorhinus,leucorhinus,Calcochloris_leucorhinus,Calcochloris_leucorhinus_leucorhinus
114,'FMNH_82116_cr_lt_1A_25_09_2013.TIF',FMNH_82116,Y,Erinaceomorpha,,Erinaceidae,Erinaceinae,Erinaceus,concolor,,Erinaceus_concolor,
115,'FMNH_82118_cr_lt_1A_25_09_2013.TIF',FMNH_82118,Y,Erinaceomorpha,,Erinaceidae,Erinaceinae,Erinaceus,concolor,,Erinaceus_concolor,
116,'FMNH_82120_cr_lt_1A_25_09_2013.TIF',FMNH_82120,Y,Erinaceomorpha,,Erinaceidae,Erinaceinae,Erinaceus,concolor,,Erinaceus_concolor,
117,'FMNH_82582_cr_lt_1A_27_09_2013.TIF',FMNH_82582,Y,Soricomorpha,,Talpidae,Talpinae,Euroscaptor,micrura,,Euroscaptor_micrura,
118,'FMNH_83540_cr_lt_1A_23_09_2013.TIF',FMNH_83540,Y,Afrosoricida,Chrysochloridea,Chrysochloridae,Amblysominae,Calcochloris,leucorhinus,leucorhinus,Calcochloris_leucorhinus,Calcochloris_leucorhinus_leucorhinus
119,'FMNH_96419_cr_lt_1A_27_09_2013.TIF',FMNH_96419,Y,Soricomorpha,,Talpidae,Talpinae,Talpa,caeca,caeca,Talpa_caeca,Talpa_caeca_caeca
120,'FMNH_9725_cr_lt_1A_30_09_2013.TIF',FMNH_9725,Y,Soricomorpha,,Soricidae,Soricinae,Sorex,bendirii,palmeri,Sorex_bendirii,Sorex_bendirii_palmeri
121,'FMNH_98438_cr_lt_1A_26_09_2013.TIF',FMNH_98438,Y,Erinaceomorpha,,Erinaceidae,Galericinae,Hylomys,suillus,maxi,Hylomys_suillus,Hylomys_suillus_maxi
122,'FMNH_98439_cr_lt_1A_26_09_2013.TIF',FMNH_98439,Y,Erinaceomorpha,,Erinaceidae,Galericinae,Hylomys,suillus,maxi,Hylomys_suillus,Hylomys_suillus_maxi
123,'MCZ_18133_cr_lt_1A_02_05_2013.TIF',MCZ_18133,Y,Soricomorpha,,Talpidae,Scalopinae,Scapanus,townsendii,,Scapanus_townsendii,
124,'MCZ_18134_cr_lt_1A_02_05_2013.TIF',MCZ_18134,Y,Soricomorpha,,Talpidae,Scalopinae,Scapanus,townsendii,,Scapanus_townsendii,
125,'MCZ_18136_cr_lt_1A_02_05_2013.TIF',MCZ_18136,Y,Soricomorpha,,Talpidae,Scalopinae,Scapanus,townsendii,,Scapanus_townsendii,
126,'MCZ_18_cr_lt_1A_29_04_2013.TIF',MCZ_18,Y,Soricomorpha,,Soricidae,Soricinae,Neomys,fodiens,,Neomys_fodiens,
127,'MCZ_22204_cr_lt_1A_30_04_2013.TIF',MCZ_22204,Y,Erinaceomorpha,,Erinaceidae,Erinaceinae,Erinaceus,europaeus,,Erinaceus_europaeus,
128,'MCZ_22206_cr_lt_1A_30_04_2013.TIF',MCZ_22206,Y,Erinaceomorpha,,Erinaceidae,Erinaceinae,Erinaceus,europaeus,,Erinaceus_europaeus,
129,'MCZ_22207_cr_lt_1A_30_04_2013.TIF',MCZ_22207,Y,Erinaceomorpha,,Erinaceidae,Erinaceinae,Erinaceus,europaeus,,Erinaceus_europaeus,
130,'MCZ_22986_cr_lt_1A_02_05_2013.TIF',MCZ_22986,Y,Erinaceomorpha,,Erinaceidae,Erinaceinae,Atelerix,albiventris,,Atelerix_albiventris,
131,'MCZ_23373_cr_lt_1A_29_04_2013.TIF',MCZ_23373,Y,Afrosoricida,Chrysochloridea,Chrysochloridae,Chrysochlorinae,Chrysochloris,stuhlmanni,,Chrysochloris_stuhlmanni,
132,'MCZ_26425_cr_lt_1A_02_05_2013.TIF',MCZ_26425,Y,Erinaceomorpha,,Erinaceidae,Erinaceinae,Atelerix,albiventris,,Atelerix_albiventris,
133,'MCZ_28159_cr_lt_left_1A_02_05_2013_flipped.tif',MCZ_28159,Y,Notoryctemorphia,,Notoryctidae,,Notoryctes,typhlops,,Notoryctes_typhlops,
134,'MCZ_29561_cr_lt_1A_02_05_2013.TIF',MCZ_29561,Y,Soricomorpha,,Talpidae,Talpinae,Desmana,moschata,,Desmana_moschata,
135,'MCZ_32771_cr_lt_1A_02_05_2013.TIF',MCZ_32771,Y,Soricomorpha,,Talpidae,Talpinae,Desmana,moschata,,Desmana_moschata,
136,'MCZ_32782_cr_lt_1A_29_04_2013.TIF',MCZ_32782,Y,Soricomorpha,,Soricidae,Soricinae,Neomys,fodiens,,Neomys_fodiens,
