ID,Image,SpecID,Skull,Order_05,Family_05,Genus_05,Subgenus_05,Species_05,Subspecies_05,Binomial_05,Trinomial_05
59,'AMNH_51324_ma_1A_25_04_2013.TIF',AMNH_51324,Y,Afrosoricida,Tenrecidae,Potamogale,,velox,,Potamogale_velox,
60,'AMNH_51327_ma_1A_25_04_2013.TIF',AMNH_51327,Y,Afrosoricida,Tenrecidae,Potamogale,,velox,,Potamogale_velox,
61,'AMNH_54365_ma_1A_25_04_2013.TIF',AMNH_54365,Y,Afrosoricida,Chrysochloridae,Chrysospalax,,trevelyani,,Chrysospalax_trevelyani,
62,'AMNH_82399_ma_1A_26_04_2013.TIF',AMNH_82399,Y,Afrosoricida,Chrysochloridae,Chrysochloris,Kilimatalpa,stuhlmanni,,Chrysochloris_stuhlmanni,
63,'AMNH_89040_ma_1A_25_04_2013.TIF',AMNH_89040,Y,Afrosoricida,Chrysochloridae,Chrysospalax,,trevelyani,,Chrysospalax_trevelyani,
64,'AMNH_89046_ma_1A_26_04_2013.TIF',AMNH_89046,Y,Afrosoricida,Chrysochloridae,Cryptochloris,,wintoni,,Cryptochloris_wintoni,
65,'MCZ_18133_ma_1A_02_05_2013.TIF',MCZ_18133,Y,Soricomorpha,Talpidae,Scapanus,,townsendii,,Scapanus_townsendii,
66,'MCZ_18134_ma_1A_02_05_2013.TIF',MCZ_18134,Y,Soricomorpha,Talpidae,Scapanus,,townsendii,,Scapanus_townsendii,
67,'MCZ_18136_ma_1A_02_05_2013.TIF',MCZ_18136,Y,Soricomorpha,Talpidae,Scapanus,,townsendii,,Scapanus_townsendii,
68,'MCZ_18_ma_1A_29_04_2013.TIF',MCZ_18,Y,Soricomorpha,Soricidae,Neomys,,fodiens,,Neomys_fodiens,
69,'MCZ_22204_ma_1A_30_04_2013.TIF',MCZ_22204,Y,Erinaceomorpha,Erinaceidae,Erinaceus,,europaeus,,Erinaceus_europaeus,
70,'MCZ_22206_ma_1A_30_04_2013.TIF',MCZ_22206,Y,Erinaceomorpha,Erinaceidae,Erinaceus,,europaeus,,Erinaceus_europaeus,
71,'MCZ_22207_ma_1A_30_04_2013.TIF',MCZ_22207,Y,Erinaceomorpha,Erinaceidae,Erinaceus,,europaeus,,Erinaceus_europaeus,
72,'MCZ_22986_ma_1A_02_05_2013.TIF',MCZ_22986,Y,Erinaceomorpha,Erinaceidae,Atelerix,,albiventris,,Atelerix_albiventris,
73,'MCZ_23373_ma_1A_29_04_2013.TIF',MCZ_23373,Y,Afrosoricida,Chrysochloridae,Chrysochloris,Kilimatalpa,stuhlmanni,,Chrysochloris_stuhlmanni,
74,'MCZ_26425_ma_1A_02_05_2013.TIF',MCZ_26425,Y,Erinaceomorpha,Erinaceidae,Atelerix,,albiventris,,Atelerix_albiventris,
75,'MCZ_28159_ma_1A_02_05_2013.TIF',MCZ_28159,Y,Notoryctemorphia,Notoryctidae,Notoryctes,,typhlops,,Notoryctes_typhlops,
76,'MCZ_29561_ma_1A_02_05_2013.TIF',MCZ_29561,Y,Soricomorpha,Talpidae,Desmana,,moschata,,Desmana_moschata,
77,'MCZ_32771_ma_1A_02_05_2013.TIF',MCZ_32771,Y,Soricomorpha,Talpidae,Desmana,,moschata,,Desmana_moschata,
78,'MCZ_32782_ma_1A_29_04_2013.TIF',MCZ_32782,Y,Soricomorpha,Soricidae,Neomys,,fodiens,,Neomys_fodiens,
79,'MCZ_3286_ma_1A_29_04_2013.TIF',MCZ_3286,Y,Soricomorpha,Soricidae,Neomys,,fodiens,,Neomys_fodiens,
80,'MCZ_34894_ma_1A_01_05_2013.TIF',MCZ_34894,Y,Soricomorpha,Soricidae,Neomys,,anomalus,,Neomys_anomalus,
81,'MCZ_34895_ma_1A_01_05_2013.TIF',MCZ_34895,Y,Soricomorpha,Soricidae,Neomys,,anomalus,,Neomys_anomalus,
82,'MCZ_34970_ma_left_flipped_1A_29_04_2013.TIF',MCZ_34970,Y,Soricomorpha,Soricidae,Chimarrogale,,himalayica,,Chimarrogale_himalayica,
83,'MCZ_35359_ma_1A_02_05_2013.TIF',MCZ_35359,Y,Soricomorpha,Talpidae,Galemys,,pyrenaicus,,Galemys_pyrenaicus,
84,'MCZ_38252_ma_1A_29_04_2013.TIF',MCZ_38252,Y,Erinaceomorpha,Erinaceidae,Neotetracus,,sinensis,,Neotetracus_sinensis,
85,'MCZ_38261_ma_1A_29_04_2013.TIF',MCZ_38261,Y,Erinaceomorpha,Erinaceidae,Neotetracus,,sinensis,,Neotetracus_sinensis,
86,'MCZ_38262_ma_1A_29_04_2013.TIF',MCZ_38262,Y,Erinaceomorpha,Erinaceidae,Neotetracus,,sinensis,,Neotetracus_sinensis,
