ID,Image,SpecID,Skull,Order_05,Suborder_05,Family_05,Genus_05,Subgenus_05,Species_05,Subspecies_05,Binomial_05,Trinomial_05
271,'SI_351336_cr_dr_1A_28_03_2013.TIF',SI_351336,Y,Afrosoricida,Chrysochloridea,Chrysochloridae,Chrysospalax,,villosus,,Chrysospalax_villosus,
272,'SI_351955_cr_dr_1A_28_03_2013.TIF',SI_351955,Y,Afrosoricida,Chrysochloridea,Chrysochloridae,Calcochloris,Calcochloris,obtusirostris,,Calcochloris_obtusirostris,
273,'SI_358133_cr_dr_1A_16_04_2013.TIF',SI_358133,Y,Soricomorpha,,Soricidae,Anourosorex,,yamashinai,,Anourosorex_yamashinai,
274,'SI_361482_cr_dr_1A_17_04_2013.TIF',SI_361482,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Tenrec,,ecaudatus,,Tenrec_ecaudatus,
275,'SI_365001_cr_dr_1A_28_03_2013.TIF',SI_365001,Y,Afrosoricida,Chrysochloridea,Chrysochloridae,Carpitalpa,,arendsi,,Carpitalpa_arendsi,
276,'SI_368925_cr_dr_1A_11_04_2013.TIF',SI_368925,Y,Soricomorpha,,Talpidae,Condylura,,cristata,cristata,Condylura_cristata,Condylura_cristata_cristata
277,'SI_369533_cr_dr_1A_05_04_2013.TIF',SI_369533,Y,Erinaceomorpha,,Erinaceidae,Erinaceus,,concolor,,Erinaceus_concolor,
278,'SI_37464_cr_dr_1A_05_04_2013.TIF',SI_37464,Y,Erinaceomorpha,,Erinaceidae,Erinaceus,,concolor,,Erinaceus_concolor,
279,'SI_380484_cr_dr_1A_28_03_2013.TIF',SI_380484,Y,Afrosoricida,Chrysochloridea,Chrysochloridae,Amblysomus,,hottentotus,,Amblysomus_hottentotus,
280,'SI_380485_cr_dr_1A_28_03_2013.TIF',SI_380485,Y,Afrosoricida,Chrysochloridea,Chrysochloridae,Amblysomus,,hottentotus,,Amblysomus_hottentotus,
281,'SI_380487_cr_dr_1A_28_03_2013.TIF',SI_380487,Y,Erinaceomorpha,,Erinaceidae,Atelerix,,frontalis,,Atelerix_frontalis,
282,'SI_381488_cr_dr_1A_28_03_2013.TIF',SI_381488,Y,Afrosoricida,Chrysochloridea,Chrysochloridae,Amblysomus,,hottentotus,,Amblysomus_hottentotus,
283,'SI_395697_cr_dr_1A_01_04_2013.TIF',SI_395697,Y,Soricomorpha,,Solenodontidae,Solenodon,,paradoxus,,Solenodon_paradoxus,
284,'SI_395819_cr-dr_1A_01_04_2013.TIF',SI_395819,Y,Soricomorpha,,Solenodontidae,Solenodon,,paradoxus,,Solenodon_paradoxus,
