ID,Image,SpecID,Skull,Order_05,Suborder_05,Family_05,Genus_05,Subgenus_05,Species_05,Subspecies_05,Binomial_05,Trinomial_05
20,'AMNH_275133_cr_dr_1A_24_04_2013.TIF',AMNH_275133,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,fotsifotsy,,Microgale_fotsifotsy,
21,'AMNH_275134_cr_dr_1A_22_04_2013.TIF',AMNH_275134,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,gymnorhyncha,,Microgale_gymnorhyncha,
22,'AMNH_275135_cr_dr_1A_22_04_2013.TIF',AMNH_275135,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,gymnorhyncha,,Microgale_gymnorhyncha,
23,'AMNH_275136_cr_dr_1A_22_04_2013.TIF',AMNH_275136,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,gymnorhyncha,,Microgale_gymnorhyncha,
24,'AMNH_275137_cr_dr_1A_22_04_2013.TIF',AMNH_275137,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,gymnorhyncha,,Microgale_gymnorhyncha,
25,'AMNH_275138_cr_dr_1A_22_04_2013.TIF',AMNH_275138,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,gymnorhyncha,,Microgale_gymnorhyncha,
26,'AMNH_275141_cr_dr_1A_22_04_2013.TIF',AMNH_275141,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,longicaudata,,Microgale_longicaudata,
27,'AMNH_275142_cr_dr_1A_22_04_2013.TIF',AMNH_275142,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,longicaudata,,Microgale_longicaudata,
28,'AMNH_275143_cr_dr_1A_23_04_2013.TIF',AMNH_275143,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,longicaudata,,Microgale_longicaudata,
29,'AMNH_275148_cr_dr_1A_23_04_2013.TIF',AMNH_275148,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,longicaudata,,Microgale_longicaudata,
30,'AMNH_275149_cr_dr_1A_23_04_2013.TIF',AMNH_275149,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,longicaudata,,Microgale_longicaudata,
31,'AMNH_275157_cr_dr_1A_23_04_2013.TIF',AMNH_275157,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,parvula,,Microgale_parvula,
32,'AMNH_275158_cr_dr_1A_23_04_2013.TIF',AMNH_275158,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,soricoides,,Microgale_soricoides,
33,'AMNH_275160_cr_dr_1A_23_04_2013.TIF',AMNH_275160,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,soricoides,,Microgale_soricoides,
34,'AMNH_275162_cr_dr_1A_23_04_2013.TIF',AMNH_275162,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,soricoides,,Microgale_soricoides,
